Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
27/03/2009,WESWAT 5 3/4 10/14/33,XS0178489844,UKT 4.25 06/32,4.112,01/04/2009,1.2,1.20,1.12,230,6.412,90.71,-,,
27/03/2009,WMT 4 7/8 01/19/39,XS0279211832,UKT 4.75 12/38,4.264,01/04/2009,5.0,5.00,4.48,141,5.674,88.568,-,,
27/03/2009,WMT 5 1/4 09/28/35,XS0202077953,UKT 4.25 03/36,4.299,01/04/2009,1.0,-,-,-,-,-,-,,
27/03/2009,WMT 5 3/4 12/19/30,XS0121617517,,,01/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,AVLN 9 1/2 06/20/16,XS0066877258,UKT 4 09/16,2.749,03/04/2009,1.0,-,-,-,-,-,-,,
31/03/2009,BATSLN 5 3/4 12/09/13,XS0171812547,UKT 4.5 03/13,2.269,03/04/2009,10.3,4.60,4.9,230,4.569,104.631,-,,
31/03/2009,BGGRP 5 7/8 11/13/12,XS0157201665,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,BPLN 5 3/4 11/08/10,XS0329663578,UKT 4.75 06/10,0.760,03/04/2009,21.2,4.60,4.95,151,2.27,105.371,-,,
31/03/2009,CENTRI 5 1/2 10/24/16,XS0271528993,UKT 4 09/16,2.749,03/04/2009,14.0,4.80,5,240,5.149,101.707,-,,
31/03/2009,CENTRI 5 7/8 11/02/12,XS0137672381,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,CPGLN 6 3/8 05/29/12,XS0148362501,UKT 5 03/12,2.023,03/04/2009,3.5,3.50,3.87,245,4.473,105.312,-,,
31/03/2009,CPGLN 7 12/08/14,XS0100559037,UKT 5 09/14,2.370,03/04/2009,11.9,4.40,4.9,265,5.02,109.219,-,,
31/03/2009,DT 4 7/8 09/23/14,XS0230363805,UKT 5 09/14,2.370,03/04/2009,1.6,1.60,1.64,246,4.83,99.908,-,,
31/03/2009,DT 5 5/8 07/19/13,XS0261792039,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,DT 6 1/4 12/09/10,XS0166575067,UKT 4.75 06/10,0.760,03/04/2009,5.0,4.60,4.9,260,3.36,104.588,-,,
31/03/2009,DT 7 1/8 09/26/12,XS0155312829,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,EDF 8 3/4 03/30/12,XS0075123413,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,EOANGR 5 1/8 01/27/14,XS0409119871,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,EXPNLN 5 5/8 12/12/13,XS0162820228,UKT 4.5 03/13,2.269,03/04/2009,10.0,-,-,-,-,-,-,,
31/03/2009,FGPLN 6 7/8 04/15/13,XS0141500487,UKT 4.5 03/13,2.269,03/04/2009,12.8,4.70,4.98,467,6.939,99.364,-,,
31/03/2009,FRTEL 5 1/2 05/24/12,XS0255429754,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,GE 5 1/4 12/10/13,XS0167497881,UKT 4.5 03/13,2.269,03/04/2009,7.3,3.30,2.99,577,8.039,88.841,-,,
31/03/2009,MKS 5 5/8 03/24/14,XS0188430721,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,MKS 5 7/8 05/29/12,XS0293893813,UKT 5 03/12,2.023,03/04/2009,11.0,4.80,4.92,460,6.623,97.608,-,,
31/03/2009,MKS 6 3/8 11/07/11,XS0138137285,UKT 4.25 03/11,1.197,03/04/2009,11.4,4.80,4.96,476,5.957,100.725,-,,
31/03/2009,NGGLN 4 3/4 12/10/10,XS0164678046,UKT 4.75 06/10,0.760,03/04/2009,7.3,4.80,4.99,237,3.13,102.567,-,,
31/03/2009,NGGLN 5 1/2 07/24/13,XS0261653348,UKT 4.5 03/13,2.269,03/04/2009,7.0,4.70,4.92,290,5.169,100.965,-,,
31/03/2009,NGGLN 5 1/4 06/02/11,XS0256243352,UKT 4.25 03/11,1.197,03/04/2009,1.7,1.70,1.82,270,3.897,102.664,-,,
31/03/2009,NGGLN 6 1/8 04/15/14,XS0412068453,UKT 5 09/14,2.370,03/04/2009,16.3,4.40,4.47,350,5.87,100.719,-,,
31/03/2009,NXT 5 1/4 09/30/13,XS0169287124,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,NXT 5 7/8 10/12/16,XS0269903869,UKT 4 09/16,2.749,03/04/2009,6.0,5.00,4.42,560,8.349,85.657,-,,
31/03/2009,PSON 7 10/27/14,XS0102793642,UKT 5 09/14,2.370,03/04/2009,3.0,-,-,-,-,-,-,,
31/03/2009,ROLLS 7 3/8 06/14/16,XS0112487482,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,TSCOLN 6 5/8 10/12/10,XS0118933927,UKT 4.75 06/10,0.760,03/04/2009,2.0,-,-,-,-,-,-,,
31/03/2009,UU 6 1/8 12/29/15,XS0406709120,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,VOD 4 5/8 09/08/14,XS0229306138,,,03/04/2009,0.0,-,-,0,-,-,-,,
31/03/2009,WMT 4 3/4 01/29/13,XS0160673264,UKT 4.5 03/13,2.269,03/04/2009,1.0,-,-,-,-,-,-,,
01/04/2009,AALLN 6 7/8 05/01/18,XS0361024895,UKT 5 03/18,2.939,06/04/2009,18.9,5.10,4.99,515,8.089,91.422,-,,
01/04/2009,BATSLN 6 3/8 12/12/19,XS0182188366,UKT 4.5 03/19,3.164,06/04/2009,4.8,-,-,-,-,-,-,,
01/04/2009,BRITEL 6 5/8 06/23/17,XS0306772939,UKT 4 09/16,2.720,06/04/2009,28.1,5.00,4.89,501,7.73,92.576,-,,
01/04/2009,BRITEL 8 5/8 03/26/20,XS0052067583,UKT 4.75 03/20,3.323,06/04/2009,8.7,3.10,3.2,473,8.053,102.882,-,,
01/04/2009,BRK 8 7/8 10/16/20,XS0060490017,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,BRK 9 1/4 01/17/20,XS0055251010,UKT 4.75 03/20,3.323,06/04/2009,2.0,1.50,1.92,250,5.823,126.057,-,,
01/04/2009,KFT 7 1/4 07/18/18,XS0377058614,UKT 5 03/18,2.939,06/04/2009,15.6,4.40,4.99,270,5.639,111.892,-,,
01/04/2009,KO 6 1/2 12/07/16,XS0126389732,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,CENTRI 7 09/19/18,XS0388006552,UKT 5 03/18,2.939,06/04/2009,10.0,-,-,-,-,-,-,,
01/04/2009,DT 7 3/8 12/04/19,XS0158739739,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,EOANGR 6 10/30/19,XS0327443460,UKT 4.5 03/19,3.164,06/04/2009,1.0,-,-,-,-,-,-,,
01/04/2009,FGPLN 6 1/8 01/18/19,XS0181013607,UKT 4.5 03/19,3.164,06/04/2009,9.5,5.60,4.99,465,7.814,87.762,-,,
01/04/2009,FGPLN 8 1/8 09/19/18,XS0388470154,UKT 5 03/18,2.939,06/04/2009,6.0,4.60,4.96,451,7.449,103.46,-,,
01/04/2009,FRTEL 7 1/4 11/10/20,FR0000483687,UKT 4.75 03/20,3.323,06/04/2009,2.5,2.50,3.05,165,4.973,119.061,-,,
01/04/2009,FRTEL 8 12/20/17,FR0000471484,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,GE 5 1/2 06/07/21,XS0092499077,UKT 4.75 03/20,3.323,06/04/2009,2.0,1.00,0.77,586,9.183,72.413,-,,
01/04/2009,GE 6 1/4 09/29/20,XS0118106243,UKT 4.75 03/20,3.323,06/04/2009,4.2,2.40,1.99,566,8.983,79.63,-,,
01/04/2009,HMSOLN 5 1/4 12/15/16,XS0241194165,UKT 4 09/16,2.720,06/04/2009,13.1,4.50,3.37,750,10.22,73.217,-,,
01/04/2009,HMSOLN 6 7/8 03/31/20,XS0109514538,UKT 4.75 03/20,3.323,06/04/2009,6.0,5.00,3.62,780,11.123,72.271,-,,
01/04/2009,IBESM 8 3/8 02/20/17,XS0073359548,UKT 4 09/16,2.720,06/04/2009,3.4,1.60,1.96,220,4.92,121.646,-,,
01/04/2009,NGGLN 6 06/07/17,XS0141704725,UKT 4 09/16,2.720,06/04/2009,5.6,4.40,4.98,200,4.72,108.104,-,,
01/04/2009,NGGLN 6 3/8 03/03/20,XS0348431551,UKT 4.75 03/20,3.323,06/04/2009,11.5,4.60,4.91,220,5.523,106.192,-,,
01/04/2009,NWGLN 6 10/11/17,XS0139335029,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,PPL 9 1/4 11/09/20,XS0061222484,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,SEVTRE 6 01/22/18,XS0408829793,UKT 5 03/18,2.939,06/04/2009,3.3,1.00,1.08,205,4.989,106.583,-,,
01/04/2009,SGN 4 3/4 02/21/17,XS0232331420,UKT 4 09/16,2.720,06/04/2009,7.4,3.70,3.51,286,5.58,94.34,-,,
01/04/2009,SGN 4 7/8 12/21/20,XS0232334952,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,SGOFP 5 5/8 12/15/16,XS0274270908,UKT 4 09/16,2.720,06/04/2009,10.0,5.50,4.93,490,7.62,87.898,-,,
01/04/2009,TSCOLN 5 1/2 12/13/19,XS0159013068,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,UU 5 3/8 05/14/18,XS0168054673,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,VOD 8 1/8 11/26/18,XS0400780960,,,06/04/2009,0.0,-,-,0,-,-,-,,
01/04/2009,WPPLN 6 04/04/17,XS0294391684,UKT 4 09/16,2.720,06/04/2009,26.3,6.20,4.98,670,9.42,80.322,-,,
02/04/2009,BATSLN 7 1/4 03/12/24,XS0352062995,UKT 5 03/25,3.998,07/04/2009,2.0,-,-,-,-,-,-,,
02/04/2009,BRITEL 5 3/4 12/07/28,XS0097283096,UKT 6 12/28,4.063,07/04/2009,10.1,6.10,4.43,470,8.763,70.781,-,,
02/04/2009,BRK 7 1/4 08/04/28,XS0083707884,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,BSY 6 05/21/27,XS0301676861,UKT 6 12/28,4.063,07/04/2009,5.0,5.00,4.4,360,7.663,82.734,-,,
02/04/2009,DT 8 7/8 11/27/28,XS0401016919,UKT 6 12/28,4.063,07/04/2009,4.3,3.80,4.89,237,6.433,125.395,-,,
02/04/2009,EDF 5 1/2 06/05/26,XS0169169355,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,EDF 5 3/4 03/08/24,XS0187202303,UKT 5 03/25,3.998,07/04/2009,7.7,5.00,4.88,195,5.948,97.221,-,,
02/04/2009,EDF 6 1/4 05/30/28,XS0367001061,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,EDF 6 1/8 06/07/27,XS0148889420,UKT 6 12/28,4.063,07/04/2009,4.0,-,-,-,-,-,-,,
02/04/2009,EDF 6 7/8 12/12/22,XS0403958498,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,EDF 8 1/2 03/31/25,XS0058209106,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,FRTEL 5 1/4 12/05/25,XS0236800412,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,FRTEL 8 1/8 11/20/28,XS0399412443,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,GE 5 1/4 12/07/28,XS0096298822,UKT 6 12/28,4.063,07/04/2009,1.2,-,-,-,-,-,-,,
02/04/2009,HMSOLN 6 02/23/26,XS0184639895,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,HMSOLN 7 1/4 04/21/28,XS0085732716,UKT 6 12/28,4.063,07/04/2009,7.6,2.80,1.97,790,11.963,63.333,-,,
02/04/2009,IBESM 6 3/4 05/29/23,XS0087240163,,,07/04/2009,0.0,-,-,0,-,-,-,,
02/04/2009,NGGLN 6 1/2 07/27/28,XS0132735373,UKT 6 12/28,4.063,07/04/2009,4.9,-,-,-,-,-,-,,
02/04/2009,NGGLN 7 12/16/24,XS0103338496,UKT 5 03/25,3.998,07/04/2009,8.4,4.50,4.95,211,6.108,107.825,-,,
02/04/2009,NGGLN 8 3/4 06/27/25,XS0058343251,UKT 5 03/25,3.998,07/04/2009,1.2,1.20,1.59,210,6.098,125.69,-,,
02/04/2009,NGN 4 7/8 06/30/27,XS0234964459,UKT 6 12/28,4.063,07/04/2009,5.0,-,-,-,-,-,-,,
